Full_date_start,Year_start,Month_start,Day_start,Full_date_end,Year_end,Month_end,Day_end,Country,Location,Type,Sub_Type,Name,Killed,Cost_dollars,Affected,Id
14101942,1942,10,14,14101942,1942,10,14,India,"Orissa, West Bengal",Storm,Tropical cyclone,,40000,,,1942-0009
21061990,1990,6,21,21061990,1990,6,21,Iran Islam Rep,"Rasht, Astara, Zanjan, Gh",Earthquake (seismic activity),Earthquake (ground shaking),,40000,710000,8000,1990-0034
11051965,1965,5,11,11051965,1965,5,11,Bangladesh,Barisal district,Storm,Tropical cyclone,,36000,15600000,57.7,1965-0028
26122004,2004,12,26,26122004,2004,12,26,Sri Lanka,,Earthquake (seismic activity),Tsunami,,35399,1019306,1316.5,2004-0659
26121939,1939,12,26,26121939,1939,12,26,Turkey,Erzincan (Anatolia),Earthquake (seismic activity),Earthquake (ground shaking),,32962,,20,1939-0010
1946,1946,,,1946,1946,,,Cape Verde Is,Countrywide,Drought,Drought,,30000,,,1946-9004
24011939,1939,1,24,24011939,1939,1,24,Chile,Chillan region (Concepcio,Earthquake (seismic activity),Earthquake (ground shaking),,30000,58500,920,1939-0001
81954,1954,8,,81954,1954,8,,China P Rep,"Hopeh,  Wuhan province",Flood,,,30000,,,1954-0014
8051902,1902,5,80,8051902,1902,5,80,Martinique,,Volcano,Volcanic eruption,Mount Pelee,30000,,,1902-0006
15121999,1999,12,15,20121999,1999,12,20,Venezuela,"Federal district Caracas,",Flood,Flash flood,,30000,483635,3160,1999-0547
13011915,1915,1,13,13011915,1915,1,13,Italy,Avezzano,Earthquake (seismic activity),Earthquake (ground shaking),,29980,,60,1915-0002
71974,1974,7,,71974,1974,7,,Bangladesh,,Flood,,,28700,38000000,579.2,1974-0034
26122003,2003,12,26,26122003,2003,12,26,Iran Islam Rep,Bam (Kerran province),Earthquake (seismic activity),Earthquake (ground shaking),,26796,267628,500,2003-0630
16091978,1978,9,16,16091978,1978,9,16,Iran Islam Rep,Tabas (Khorasan province),Earthquake (seismic activity),Earthquake (ground shaking),,25000,40000,50,1978-0115
7121988,1988,12,71,7121988,1988,12,71,Soviet Union,"Armenia, Leninakan, Kirov",Earthquake (seismic activity),Earthquake (ground shaking),,25000,1642000,14000,1988-0528
1920,1920,,,1920,1920,,,Cape Verde Is,Countrywide,Drought,Drought,,24000,,,1920-9004
4021976,1976,2,40,4021976,1976,2,40,Guatemala,Guatemala city,Earthquake (seismic activity),Earthquake (ground shaking),,23000,4993000,1000,1976-0024
28051963,1963,5,28,28051963,1963,5,28,Bangladesh,"Chittagong, Noakhali",Storm,Tropical cyclone,,22000,1000000,50,1963-0013
13111985,1985,11,13,13111985,1985,11,13,Colombia,"Armero, Chinchina, Casabl",Volcano,Volcanic eruption,Nevado Del Ruiz,21800,12700,1000,1985-0132
16072003,2003,7,16,15082003,2003,8,15,Italy,"Milan, Turin (Pi‰ö_å©mont), M",Extreme temperature,Heat wave,,20089,,4400,2003-0391
26012001,2001,1,26,26012001,2001,1,26,India,"Kachch-Bhuj, Ahmedabad, R",Earthquake (seismic activity),Earthquake (ground shaking),,20005,6321812,2623,2001-0033
1940,1940,,,1944,1944,,,Cape Verde Is,"Nicolau, Fogo, Sao Tiago",Drought,Drought,,20000,,,1940-9002
16081906,1906,8,16,16081906,1906,8,16,Chile,Valparaiso,Earthquake (seismic activity),Earthquake (ground shaking),,20000,,100,1906-0014
51974,1974,5,,51974,1974,5,,China P Rep,"Yunnan, Sichuan",Earthquake (seismic activity),Earthquake (ground shaking),,20000,,,1974-0025
5041905,1905,4,50,5041905,1905,4,50,India,Kangra,Earthquake (seismic activity),Earthquake (ground shaking),,20000,,,1905-0003
