Full_date_start,Year_start,Month_start,Day_start,Full_date_end,Year_end,Month_end,Day_end,Country,Location,Type,Sub_Type,Name,Killed,Cost_dollars,Affected,Id
81980,1980,8,,81980,1980,8,,Bangladesh,North Western,Flood,,,655,10000000,150,1980-0073
71972,1972,7,,71972,1972,7,,Philippines,"Central, NorthLuzon",Flood,,,653,2770647,220,1972-0042
13031992,1992,3,13,13031992,1992,3,13,Turkey,Erzican province,Earthquake (seismic activity),Earthquake (ground shaking),,653,348850,750,1992-0022
51958,1958,5,,51958,1958,5,,India,,Extreme temperature,Heat wave,,651,,,1958-0031
121981,1981,12,,121981,1981,12,,Burkina Faso,,Epidemic,Bacterial Infectious Diseases,,650,6212,,1981-0102
29091981,1981,9,29,29091981,1981,9,29,Nepal,,Flood,Flash flood,,650,10000,,1981-0085
21062008,2008,6,21,23062008,2008,6,23,Philippines,"Aklan, Cebu, Cotabato, Ge",Storm,Tropical cyclone,Typhoon Fengshen (Franck),644,4785460,284.694,2008-0249
27091987,1987,9,27,27091987,1987,9,27,Colombia,Villatina (Medellin),Mass movement wet,Landslide,,640,6436,,1987-0167
41992,1992,4,,41992,1992,4,,Nepal,Northwestern & Central Re,Epidemic,,Gastroenteritis,640,50000,,1992-0257
9061991,1991,6,90,22061991,1991,6,22,Philippines,"Zambales, Pampanga, Olong",Volcano,Volcanic eruption,Mount Pinatubo,640,1036065,211,1991-0132
12091999,1999,9,12,29101999,1999,10,29,Mexico,"Veracruz, Tabasco, Hidalg",Flood,Storm surge/coastal flood,,636,616060,451.3,1999-0391
16091970,1970,9,16,16091970,1970,9,16,Philippines,,Storm,Tropical cyclone,Titang,631,76,47.397,1970-0079
1111927,1927,11,11,1111927,1927,11,11,India,Nellore,Storm,Tropical cyclone,,629,,,1927-0011
24022004,2004,2,24,26022004,2004,2,26,Morocco,"A‰ö_Ì÷t Kamra, Tamassint, Imz",Earthquake (seismic activity),Earthquake (ground shaking),,628,13465,400,2004-0073
71970,1970,7,,71970,1970,7,,India,"North-East, Western, Nort",Flood,,,627,10351000,101.2,1970-0034
17061947,1947,6,17,17061947,1947,6,17,India,,Transport Accident,Water,Boat 'Ramdas',625,,,1947-0022
25101999,1999,10,25,9111999,1999,11,91,Viet Nam,"Da Nang, Quang Nam, Thanh",Flood,Storm surge/coastal flood,,622,3504412,237,1999-0428
20091982,1982,9,20,20091982,1982,9,20,Guatemala,Western coast,Flood,,,620,20256,100,1982-0103
13081997,1997,8,13,71998,1998,7,,Mozambique,"Maputo City, Maputo, Gaza",Epidemic,Bacterial Infectious Diseases,Cholera,619,26783,,1997-0288
22022005,2005,2,22,22022005,2005,2,22,Iran Islam Rep,"Rooein Abad, Akbar, Asgha",Earthquake (seismic activity),Earthquake (ground shaking),,612,94766,80,2005-0092
7082007,2007,8,70,25082007,2007,8,25,Korea Dem P Rep,"Kangwon, North Hwanghae, ",Flood,General flood,,610,1170518,300,2007-0352
28102001,2001,10,28,9032002,2002,3,90,Malawi,"Lake Chilwa, Mangochi dis",Epidemic,Bacterial Infectious Diseases,Cholera,609,21414,,2001-0787
14111993,1993,11,14,14111993,1993,11,14,Pakistan,"Keti Bandar, Hyderabad",Storm,Tropical cyclone,,609,,,1993-0304
25122000,2000,12,25,25032001,2001,3,25,Chad," Logone Occidental, Moyen",Epidemic,Bacterial Infectious Diseases,Meningococcal disease,607,5173,,2000-0876
4061989,1989,6,40,4061989,1989,6,40,Soviet Union,Acha-Oufa,Industrial Accident,Explosion,Pipeline,607,757,,1989-0022
12000,2000,1,,12000,2000,1,,Chad,"Logone Occidental, Logone",Epidemic,Bacterial Infectious Diseases,,602,4500,,2000-0131
30121903,1903,12,30,30121903,1903,12,30,United States,Chicago,Miscellaneous accident,Fire,Theater,602,,,1903-0004
1967,1967,,,1969,1969,,,Australia,South-East,Drought,Drought,,600,,600,1967-9012
15101983,1983,10,15,15101983,1983,10,15,Bangladesh,Chittagong,Storm,Tropical cyclone,,600,5000,,1983-0133
1041977,1977,4,10,1041977,1977,4,10,Bangladesh,Madaripur,Storm,,,600,10000,50,1977-0054
18051986,1986,5,18,18051986,1986,5,18,Bangladesh,Meghna river (Barisal dis,Transport Accident,Water,,600,,,1986-0064
71965,1965,7,,71965,1965,7,,Chile,Antofagasta to Aisen,Flood,,,600,375000,10,1965-0040
41983,1983,4,,41983,1983,4,,China P Rep,Hunan province,Transport Accident,Rail,,600,2000,,1983-0418
20101926,1926,10,20,20101926,1926,10,20,Cuba,Havana and suburbs,Storm,Tropical cyclone,,600,,,1926-0012
2111994,1994,11,21,8111994,1994,11,81,Egypt,"Asyut, Sohag, Qena, Luxor",Flood,General flood,,600,160660,140,1994-0509
121923,1923,12,,121923,1923,12,,France,Gleno,Miscellaneous accident,Collapse,Dam,600,,,1923-0011
21091921,1921,9,21,21091921,1921,9,21,Germany,Oppau,Industrial Accident,Explosion,Nitrate manufacturing plant,600,1500,,1921-0003
71980,1980,7,,71980,1980,7,,India,,Flood,,,600,,,1980-0324
17051969,1969,5,17,17051969,1969,5,17,India,"Guntur, Krishna, Godavari",Storm,Tropical cyclone,,600,260000,8.33,1969-0071
1101976,1976,10,11,1101976,1976,10,11,Mexico,"La Paz, Baja Peninsula",Storm,Tropical cyclone,Liza,600,276400,100,1976-0066
4051902,1902,5,40,4051902,1902,5,40,Myanmar,Rangoon,Storm,Tropical cyclone,,600,,,1902-0005
71995,1995,7,,71995,1995,7,,Pakistan,,Flood,General flood,,600,,,1995-0471
18031971,1971,3,18,18031971,1971,3,18,Peru,Chungar,Mass movement wet,Landslide,,600,,,1971-0020
41987,1987,4,,1987,1987,,,Somalia,"Togdheer, Sol, Sannag, Ba",Drought,Drought,,600,500000,,1987-9014
13061984,1984,6,13,13061984,1984,6,13,United States,Colorado,Storm,Local storm,,600,,277,1984-0055
91938,1938,9,,91938,1938,9,,United States,New York,Storm,Tropical cyclone,,600,,306,1938-0004
1011964,1964,1,10,1011964,1964,1,10,Viet Nam,"Saigon, Mekong delta",Epidemic,Bacterial Infectious Diseases,Cholera,598,10848,,1964-0004
12051979,1979,5,12,12051979,1979,5,12,India,Andhra Pradesh,Storm,Tropical cyclone,,594,1605772,12.8,1979-0051
13051998,1998,5,13,13051998,1998,5,13,Tanzania Uni Rep,Sumbawanga district,Epidemic,Parasitic Infectious Diseases,,590,4853,,1998-0146
20121977,1977,12,20,20121977,1977,12,20,Iran Islam Rep,Kerman province,Earthquake (seismic activity),Earthquake (ground shaking),,589,500,,1977-0142
111990,1990,11,,111990,1990,11,,Mozambique,Northwestern,Epidemic,Bacterial Infectious Diseases,Cholera,588,4000,,1990-0257
11992,1992,1,,11992,1992,1,,Mozambique,,Epidemic,Bacterial Infectious Diseases,Cholera,587,225673,,1992-0166
24071996,1996,7,24,24071996,1996,7,24,Viet Nam,"Thai Binh, Nam Ha, Ninh B",Storm,Tropical cyclone,Frankie,585,387091,362,1996-0110
19111964,1964,11,19,19111964,1964,11,19,Philippines,"North Mindanao, South Luz",Storm,Tropical cyclone,Louise,580,301258,35,1964-0065
91983,1983,9,,91983,1983,9,,Viet Nam,,Storm,Tropical cyclone,"Herbert (NåÂ‰ö_7), Kim (NåÂ‰ö_9), Lex (NåÂ‰ö_10)",578,845324,,1983-0125
41988,1988,4,,41988,1988,4,,China P Rep,"Zhejiang, Heilongjiang pr",Flood,,,577,22000200,1063.564,1988-0148
12091970,1970,9,12,12091970,1970,9,12,Philippines,,Storm,Tropical cyclone,Sening,575,1593,12.11,1970-0078
14071976,1976,7,14,14071976,1976,7,14,Indonesia,Bali,Earthquake (seismic activity),Earthquake (ground shaking),,573,454755,195,1976-0047
1960,1960,,,1960,1960,,,Chile,,Earthquake (seismic activity),Earthquake (ground shaking),,570,,,1960-0003
9121951,1951,12,91,9121951,1951,12,91,Philippines,Central,Storm,Tropical cyclone,Amy,569,60000,,1951-0024
61999,1999,6,,61999,1999,6,,Kenya,"Kisii, Mt. Elgon, south W",Epidemic,Parasitic Infectious Diseases,,563,306352,,1999-0487
28031977,1977,3,28,28031977,1977,3,28,Canary Is,Teneriffe Isl.,Transport Accident,Air,Boeing 747,562,634,,1977-0053
28022005,2005,2,28,23032005,2005,3,23,Nigeria,"Adamawa, Kano, Jigawa, Ba",Epidemic,Viral Infectious Diseases,,561,23575,,2005-0134
16041947,1947,4,16,16041947,1947,4,16,United States,Texas city,Industrial Accident,Explosion,Freighter 'Grandcamps',561,,,1947-0004
71957,1957,7,,71957,1957,7,,China P Rep,,Flood,,,560,,,1957-0033
101968,1968,10,,101968,1968,10,,India,,Flood,,,560,,,1968-0127
8051995,1995,5,80,21061995,1995,6,21,India,"Bihar, Punjab, Haryana an",Extreme temperature,Heat wave,,558,,,1995-0112
91985,1985,9,,91985,1985,9,,India,"Uttar Pradesh, Bihar",Flood,General flood,,557,152000,308,1985-0317
11997,1997,1,,121998,1998,12,,Kenya,"Migori, Rachuonyo, Suba, ",Epidemic,Bacterial Infectious Diseases,Cholera,555,17200,,1997-0551
4071981,1981,7,40,4071981,1981,7,40,India,,Flood,,,553,16000000,250,1981-0063
12101992,1992,10,12,12101992,1992,10,12,Egypt,Near Fayoum (Cairo),Earthquake (seismic activity),Earthquake (ground shaking),,552,92649,1200,1992-0149
19061983,1983,6,19,19061983,1983,6,19,India,Saurashtra coast (N-W. Gu,Storm,Tropical cyclone,,551,800000,56,1983-0087
27091987,1987,9,27,27091987,1987,9,27,Bangladesh,"Rangpur, Netrokona, Gaiba",Epidemic,,,550,600000,,1987-0572
19091989,1989,9,19,19091989,1989,9,19,China P Rep,"Zhejiang, Jiangsu provinc",Storm,Tropical cyclone,Vera,550,7002696,485,1989-0118
21062002,2002,6,21,28082002,2002,8,28,India,"Assam, Gujarat, Himachal ",Flood,General flood,,549,42000000,30.772,2002-0374
91987,1987,9,,91987,1987,9,,Iran Islam Rep,,Flood,,,544,,,1987-0311
12121917,1917,12,12,12121917,1917,12,12,France,Modane,Transport Accident,Rail,,543,,,1917-0020
24091969,1969,9,24,101969,1969,10,,Tunisia,Countrywide,Flood,,,540,271269,100,1969-0094
18071979,1979,7,18,18071979,1979,7,18,Indonesia,Lomblen Island,Earthquake (seismic activity),Tsunami,,539,23,,1979-0066
15062007,2007,6,15,72007,2007,7,,China P Rep,"Sichuan, Anhui, Hubei , S",Flood,General flood,,535,105004000,4425.655,2007-0268
2092008,2008,9,20,3092008,2008,9,30,Haiti,"Gonaives, Saint-Marc, Gro",Storm,Tropical cyclone,Hurricane Hanna,529,48000,,2008-0378
8072003,2003,7,80,8072003,2003,7,80,Bangladesh,Near Chandpur,Transport Accident,Water,Ferry 'MV Nasrin-1',528,200,,2003-0332
1012004,2004,1,10,21032004,2004,3,21,Burkina Faso,"Di‰ö_å©bougou, Barsalogho, Za",Epidemic,Bacterial Infectious Diseases,Meningococcal disease,527,2783,,2004-0110
12051996,1996,5,12,14051996,1996,5,14,Bangladesh,"Gopalpur, Basail, Kalihat",Storm,Tropical cyclone,,525,118291,,1996-0086
15051995,1995,5,15,15051995,1995,5,15,Bangladesh,"Cox's Bazar, Teknaf, Barg",Storm,,,525,2070000,800,1995-0082
81915,1915,8,,81915,1915,8,,United States,"Cavelston (Texas), New Or",Storm,Tropical cyclone,,525,,60,1915-0005
30071991,1991,7,30,30071991,1991,7,30,India,"Andhra Pradesh, Maharasht",Flood,General flood,,524,100000,,1991-0527
14111984,1984,11,14,14111984,1984,11,14,India,Tamil Nadu state + Chitto,Storm,Tropical cyclone,,524,1300000,35,1984-0110
1061991,1991,6,10,15061991,1991,6,15,Pakistan,"Jacobabab, Nawabsma, Hyde",Extreme temperature,Heat wave,,523,250,,1991-0279
4031944,1944,3,40,4031944,1944,3,40,Italy,Salerno,Transport Accident,Rail,,521,,,1944-0023
13081985,1985,8,13,13081985,1985,8,13,Japan,Near Fujioka (Between Tok,Transport Accident,Air,Boeing 747,520,,,1985-0098
9022005,2005,2,90,16022005,2005,2,16,Pakistan,"Pasni Tehsil, Chaman, Pis",Flood,General flood,,520,7000450,30,2005-0079
15082007,2007,8,15,15082007,2007,8,15,Peru,"Pisco, Ica, Chincha, Cane",Earthquake (seismic activity),Earthquake (ground shaking),,519,479955,2000,2007-0362
24121997,1997,12,24,31998,1998,3,,Peru,"Cusco, Lima, Ica, Tumbes,",Storm,Tropical cyclone,,518,580730,12,1997-0530
5101936,1936,10,51,5101936,1936,10,51,Philippines,Luzon,Storm,Tropical cyclone,,517,,,1936-0008
1012007,2007,1,10,31122007,2007,12,31,Angola,"Luanda, Cabinda, Benguela",Epidemic,Bacterial Infectious Diseases,Cholera,515,17875,,2007-0056
21993,1993,2,,21993,1993,2,,Cameroon,Far North and North provi,Epidemic,Bacterial Infectious Diseases,,513,4070,,1993-0500
91950,1950,9,,91950,1950,9,,Japan,Entire nation except Kyus,Storm,Tropical cyclone,Jane,509,642117,,1950-0010
25021984,1984,2,25,25021984,1984,2,25,Brazil,"Cubatao, Sao Paulo",Industrial Accident,Explosion,Oil pipeline,508,3,,1984-0201
12000,2000,1,,12000,2000,1,,Afghanistan,"Darra Souf, Jaghuri, Zind",Epidemic,Viral Infectious Diseases,,507,,,2000-0054
31071994,1994,7,31,31071994,1994,7,31,Cambodia,"Battambang, Takeo, Kompon",Flood,,,506,29000,,1994-0064
29051937,1937,5,29,29051937,1937,5,29,Papua New Guinea,Rabaul,Volcano,Volcanic eruption,"Vulcan, Tavurvur",506,7500,,1937-0004
25091987,1987,9,25,29091987,1987,9,29,South Africa,"Natal, Kwazulu",Flood,General flood,,506,65000,765.305,1987-0166
12111990,1990,11,12,16111990,1990,11,16,Philippines,"Samar, Masbate provinces,",Storm,Tropical cyclone,Mike (Ruping),503,6159569,388.5,1990-0122
28102001,2001,10,28,28102001,2001,10,28,Malawi,Southern regions district,Epidemic,Bacterial Infectious Diseases,Cholera,502,17352,,2001-0778
1112001,2001,11,11,14032002,2002,3,14,Zaire/Congo Dem Rep,Katanga province,Epidemic,Bacterial Infectious Diseases,Cholera,502,6099,,2001-0775
16121982,1982,12,16,16121982,1982,12,16,Afghanistan,Baghlan province (Hindu K,Earthquake (seismic activity),Earthquake (ground shaking),,500,38000,1,1982-0127
111985,1985,11,,111985,1985,11,,Bangladesh,,Epidemic,,,500,,,1985-0129
111983,1983,11,,111983,1983,11,,Bangladesh,,Epidemic,Bacterial Infectious Diseases,Cholera,500,,,1983-0141
20101958,1958,10,20,20101958,1958,10,20,Bangladesh,,Storm,Tropical cyclone,,500,,,1958-0014
21101947,1947,10,21,21101947,1947,10,21,Bangladesh,"Cox's Bazar, Chittagong",Storm,Tropical cyclone,,500,,,1947-0012
15081986,1986,8,15,15081986,1986,8,15,Bangladesh,Dhaleswari river,Transport Accident,Water,,500,,,1986-0324
6071936,1936,7,60,6071936,1936,7,60,Canada,Nationwide (except Yukon,Extreme temperature,Heat wave,,500,,,1936-0006
14081950,1950,8,14,14081950,1950,8,14,China P Rep,Anhwei province,Flood,,,500,10000000,,1950-0007
23031934,1934,3,23,23031934,1934,3,23,China P Rep,Canton,Mass movement wet,Landslide,,500,,,1934-0005
81975,1975,8,,81975,1975,8,,China P Rep,West river (near Canton),Transport Accident,Water,Ferry,500,,,1975-0132
4011951,1951,1,40,4011951,1951,1,40,Comoros,,Storm,Local storm,,500,,,1951-0005
17091982,1982,9,17,17091982,1982,9,17,El Salvador,"Sonsonate, Ahuachapan",Flood,,,500,68000,280,1982-0102
1011970,1970,1,10,1011970,1970,1,10,Ethiopia,,Epidemic,Bacterial Infectious Diseases,Cholera,500,4000,,1970-0007
14061931,1931,6,14,14061931,1931,6,14,France,Saint-Nazaire,Transport Accident,Water,Boat 'Saint Philibert',500,,,1931-0013
14111963,1963,11,14,15111963,1963,11,15,Haiti,Grand Riviare du Nord,Flood,,,500,,,1963-0034
72007,2007,7,,72007,2007,7,,Hungary,,Extreme temperature,Heat wave,,500,,,2007-0235
25081996,1996,8,25,1091996,1996,9,10,India,"Bihar, Assam, Gujarat, Ha",Flood,,,500,100000,17.6,1996-0501
8091992,1992,9,80,31091992,1992,9,31,India,"Uttar Pradesh, Jammu, Mad",Flood,General flood,,500,70000,57.85,1992-0083
81977,1977,8,,81977,1977,8,,India,Ganges region,Flood,General flood,,500,1000000,,1977-0094
91959,1959,9,,91959,1959,9,,India,,Flood,,,500,,,1959-0046
18091948,1948,9,18,18091948,1948,9,18,India,Assam,Mass movement wet,Landslide,,500,,,1948-0008
20081990,1990,8,20,20081990,1990,8,20,India,Golfe du Bengale,Storm,Local storm,,500,,,1990-0396
9111982,1982,11,91,9111982,1982,11,91,India," Gujarat, Maharashtra",Storm,Tropical cyclone,,500,5000000,625.42,1982-0120
16041978,1978,4,16,16041978,1978,4,16,India,Orissa,Storm,Local storm,,500,1400,,1978-0055
17121964,1964,12,17,17121964,1964,12,17,India,Rameswaram,Storm,Tropical cyclone,,500,,,1964-0068
28111955,1955,11,28,28111955,1955,11,28,India,Tanjore,Storm,Tropical cyclone,,500,,,1955-0019
14051981,1981,5,14,14051981,1981,5,14,Indonesia,Mont Semeru,Flood,,,500,,2.2,1981-0051
10101994,1994,10,10,10101994,1994,10,10,Lao P Dem Rep,,Epidemic,Bacterial Infectious Diseases,Cholera,500,8000,,1994-0602
22002,2002,2,,2002,2002,,,Malawi,"Balaka, Nlantyre, Chikwaw",Drought,Drought,,500,2829435,,2002-9124
1011969,1969,1,10,1011969,1969,1,10,Mali,Bamako Area,Epidemic,Bacterial Infectious Diseases,,500,4000,,1969-0003
28081973,1973,8,28,28081973,1973,8,28,Mexico,Puebla,Earthquake (seismic activity),Earthquake (ground shaking),,500,,,1973-0035
28091955,1955,9,28,28091955,1955,9,28,Mexico,Chetumal area,Storm,Tropical cyclone,Janet,500,,40,1955-0016
29011971,1971,1,29,29011971,1971,1,29,Mozambique,,Flood,General flood,,500,500000,,1971-0011
5051930,1930,5,50,5051930,1930,5,50,Myanmar,"Pegu, Rangoon",Earthquake (seismic activity),Earthquake (ground shaking),,500,,,1930-0006
81951,1951,8,,81951,1951,8,,Nicaragua,,Earthquake (seismic activity),Earthquake (ground shaking),,500,,,1951-0038
25041973,1973,4,25,25041973,1973,4,25,Peru,Andes,Mass movement wet,Landslide,,500,,,1973-0025
4121951,1951,12,41,4121951,1951,12,41,Philippines,"Mt Catarman, Mindanao",Volcano,Volcanic eruption,Hibok-Hibok,500,,,1951-0022
7101985,1985,10,71,7101985,1985,10,71,Puerto Rico,,Flood,,,500,,,1985-0345
101997,1997,10,,101997,1997,10,,Somalia,Southwest of Mogadishu,Epidemic,Viral Infectious Diseases,Rift Valley fever,500,,,1997-0521
19101973,1973,10,19,19101973,1973,10,19,Spain,"Granada, Almeria, Murcia",Flood,Flash flood,,500,,400,1973-0046
16011944,1944,1,16,16011944,1944,1,16,Spain,Leon province,Transport Accident,Rail,,500,,,1944-0005
5031912,1912,3,50,5031912,1912,3,50,Spain,Atlantic,Transport Accident,Water,Paquebot 'Principe de Asturias',500,,,1912-0002
1983,1983,,,1983,1983,,,Swaziland,Nationwide,Drought,Drought,,500,,,1981-9309
111977,1977,11,,111977,1977,11,,Tanzania Uni Rep,Widespread,Epidemic,Bacterial Infectious Diseases,Cholera,500,6000,,1977-0130
61955,1955,6,,61955,1955,6,,Thailand,,Earthquake (seismic activity),Tsunami,,500,,,1955-0042
91919,1919,9,,91919,1919,9,,United States,"Florida  Keys, South Texa",Storm,Tropical cyclone,,500,,25,1919-0002
14111939,1939,11,14,14111939,1939,11,14,Venezuela,Langunillas,Miscellaneous accident,Fire,,500,,,1939-0007
31991,1991,3,,31991,1991,3,,Zaire/Congo Dem Rep,Kivu Region,Epidemic,Viral Infectious Diseases,,500,,,1991-0095
5082006,2006,8,50,8082006,2006,8,80,Ethiopia,"Dire Dawa city, Addiq Ket",Flood,Flash flood,,498,10096,3.2,2006-0422
28111942,1942,11,28,28111942,1942,11,28,United States,Massachussetts,Miscellaneous accident,Fire,Nightclub,492,,,1942-0004
16071987,1987,7,16,16071987,1987,7,16,Korea Rep,Southeast (1) + Seoul + C,Storm,Tropical cyclone,Thelma,483,56000,325,1987-0130
29031982,1982,3,29,29031982,1982,3,29,Yemen P Dem Rep,Nationwide,Flood,Flash flood,,482,350000,975,1982-0042
11953,1953,1,,11953,1953,1,,Canada,Nationwide,Epidemic,Viral Infectious Diseases,Polio,481,8000,,1953-0030
29062000,2000,6,29,29062000,2000,6,29,Indonesia,"Sangihe-Talaud Isl., off ",Transport Accident,Water,Ferry Cahaya Bahari,481,11,,2000-0889
29091966,1966,9,29,29091966,1966,9,29,Haiti,South Hispaniola,Storm,Tropical cyclone,Inez,480,67881,20,1966-0075
24041960,1960,4,24,24041960,1960,4,24,Iran Islam Rep,"Lar,  Gerash",Earthquake (seismic activity),Earthquake (ground shaking),,480,,,1960-0002
28012006,2006,1,28,24092006,2006,9,24,Sudan,"Cental Equatria, East Equ",Epidemic,Bacterial Infectious Diseases,Cholera,476,15711,,2006-0077
71998,1998,7,,71998,1998,7,,Cambodia,All country,Epidemic,Viral Infectious Diseases,Dengue fever,475,15000,,1998-0352
25101998,1998,10,25,1111998,1998,11,11,El Salvador,,Storm,Tropical cyclone,Mitch,475,84000,388.1,1998-0343
81973,1973,8,,81973,1973,8,,Pakistan,"Punjab, Sind",Flood,,,474,4800000,661.5,1973-0033
10031991,1991,3,10,15031991,1991,3,15,Malawi,"Chiringa, Phalombe, Mulan",Flood,Flash flood,,472,150000,24,1991-0048
15072002,2002,7,15,15082002,2002,8,15,Nepal,"Makwanpur, Khotang, Kathm",Mass movement wet,Landslide,,472,265865,,2002-0428
12006,2006,1,,42006,2006,4,,Botswana,"Francistown, S/Palapye, B",Epidemic,,Acute diarrhoeal syndrome,470,22264,,2006-0134
1111981,1981,11,11,1111981,1981,11,11,India,Gujarat,Storm,,,470,,,1981-0094
81953,1953,8,,81953,1953,8,,Iran Islam Rep,,Flood,,,467,,,1953-0049
61988,1988,6,,61988,1988,6,,India,Delhi,Epidemic,Bacterial Infectious Diseases,Cholera,466,,,1988-0238
1011980,1980,1,10,1011980,1980,1,10,Liberia,,Epidemic,Bacterial Infectious Diseases,Cholera,466,1887,,1980-0007
26111967,1967,11,26,26111967,1967,11,26,Portugal,Lisbon + 3 other cities,Flood,,,462,1100,3,1967-0073
21965,1965,2,,21965,1965,2,,Turkey,,Epidemic,Viral Infectious Diseases,,461,100000,,1965-0008
14121991,1991,12,14,14121991,1991,12,14,Egypt,Coast of Safaga,Transport Accident,Water,Ferry 'Salem Express',460,,,1991-0445
72000,2000,7,,112000,2000,11,,Viet Nam,"Lon An, Dong Thap, An Gia",Flood,General flood,,460,5000004,250,2000-0408
1972,1972,,,1972,1972,,,Iraq,,Industrial Accident,Poisoning,,459,6071,,1972-0094
3071972,1972,7,30,3071972,1972,7,30,Japan,,Flood,,,458,,,1972-0147
29061995,1995,6,29,29061995,1995,6,29,Korea Rep,Seoul,Miscellaneous accident,Collapse,Department store,458,922,,1995-0132
3111989,1989,11,31,5111989,1989,11,51,Thailand,"Chumphon, Nakkhon Si Tham",Storm,Tropical cyclone,Gay,458,199000,452,1989-0131
1934,1934,,,1934,1934,,,Soviet Union,Armenia,Earthquake (seismic activity),Earthquake (ground shaking),,456,1189,,1934-0019
81953,1953,8,,81953,1953,8,,Greece,Ionian Islands,Earthquake (seismic activity),Earthquake (ground shaking),,455,,100,1953-0001
41936,1936,4,,41936,1936,4,,United States,"Mississippi, Georgia",Storm,Local storm,,455,,21,1936-0003
19111984,1984,11,19,19111984,1984,11,19,Mexico,San Juan Ixtaheupec (near,Industrial Accident,Explosion,Natural gas storage tank,452,708248,541.3,1984-0111
20051999,1999,5,20,23051999,1999,5,23,India,Gujarat Coast,Storm,Tropical cyclone,O2a,451,40696,20,1999-0177
101945,1945,10,,101945,1945,10,,Japan,Entire nationa except Hok,Storm,Tropical cyclone,Akune,451,540981,,1945-0006
22071995,1995,7,22,22071995,1995,7,22,Pakistan,"Swat, Azad Kasmir, Dadu, ",Flood,Flash flood,,451,1255000,,1995-0156
31091992,1992,9,31,31091992,1992,9,31,Afghanistan,"Salang, Ghorband, Shutul ",Flood,Flash flood,,450,4000,4,1992-0063
81975,1975,8,,81975,1975,8,,India,Eastern,Storm,,,450,,200,1975-0045
12061964,1964,6,12,12061964,1964,6,12,Pakistan,"Coast, Low Indus valley",Storm,Tropical cyclone,,450,400000,4.1,1964-0034
91987,1987,9,,91987,1987,9,,Zaire/Congo Dem Rep,Along Zaire River,Epidemic,Bacterial Infectious Diseases,Cholera,450,,,1987-0152
3071992,1992,7,30,9071992,1992,7,90,China P Rep,Fujian provinces,Storm,,,448,35088,68.7,1992-0220
12051982,1982,5,12,12051982,1982,5,12,China P Rep,Guangdong province,Flood,Flash flood,,447,809143,,1982-0058
1964,1964,,,1964,1964,,,Japan,Omuta,Industrial Accident,Explosion,Mine,447,,,1964-0008
30081995,1995,8,30,30081995,1995,8,30,China P Rep,Guangdong,Storm,Tropical cyclone,Kent,445,25000,87,1995-0188
71988,1988,7,,71988,1988,7,,India,Gujarat state,Epidemic,Bacterial Infectious Diseases,Cholera,445,,,1988-0297
27091962,1962,9,27,27091962,1962,9,27,Spain,Barcelona,Flood,Flash flood,,445,,80,1962-0008
1011981,1981,1,10,1011981,1981,1,10,Burkina Faso,,Epidemic,Bacterial Infectious Diseases,,441,3801,,1981-0001
6082006,2006,8,60,11082006,2006,8,11,China P Rep,"Zhejiang, Fujian, Cangnan",Storm,Tropical cyclone,Saomai,441,5923350,2510,2006-0437
11061998,1998,6,11,11061998,1998,6,11,China P Rep,"Hunan, Jiangxi, Fujian, G",Flood,,,440,1500000,724.7,1998-0445
121955,1955,12,,121955,1955,12,,Lebanon,,Flood,,,440,,,1955-0050
1946,1946,,,1946,1946,,,Germany,Grimberg Monop mine,Industrial Accident,Explosion,Mine,439,,,1946-0002
1950,1950,,,1950,1950,,,Japan,Minamata Bay,Industrial Accident,Poisoning,Methyl Mercury,439,1044,,1950-0015
1913,1913,,,1913,1913,,,United Kingdom,Senghenydd,Industrial Accident,Explosion,Mine,439,,,1913-0001
6081988,1988,8,60,6081988,1988,8,60,India,Katihar (Bihar),Transport Accident,Water,,438,,,1988-0364
17081949,1949,8,17,17081949,1949,8,17,Turkey,Karliova (Anatolia),Earthquake (seismic activity),Earthquake (ground shaking),,437,355,,1949-0019
19031967,1967,3,19,19031967,1967,3,19,Brazil,Rio de Janeiro,Mass movement wet,Landslide,,436,,,1967-0028
12111961,1961,11,12,12111961,1961,11,12,Mexico,South,Storm,Tropical cyclone,Tara,436,,,1961-0014
6091986,1986,9,60,6091986,1986,9,60,Viet Nam,"Ha Nam Ninh, Thai Binh, H",Storm,Tropical cyclone,Wayne (NåÂ‰ö_5),435,2502502,,1986-0109
1011988,1988,1,10,1011988,1988,1,10,Chad,N'djamena  + South,Epidemic,Bacterial Infectious Diseases,,433,6794,,1988-0011
17091959,1959,9,17,17091959,1959,9,17,Korea Rep,,Storm,Tropical cyclone,Sarah,432,,,1959-0012
25011981,1981,1,25,25011981,1981,1,25,Indonesia,Java sea,Transport Accident,Water,Boat 'Tamponas II',431,,,1981-0027
23062003,2003,6,23,28072003,2003,7,28,China P Rep,"Zhejiang, Jiangsu, Shaanx",Flood,General flood,,430,150146000,7890,2003-0315
111970,1970,11,,111970,1970,11,,Colombia,,Earthquake (seismic activity),Earthquake (ground shaking),,430,,,1970-0126
18022003,2003,2,18,18022003,2003,2,18,Korea Rep,Daegu,Miscellaneous accident,Fire,Subway,430,146,,2003-0090
1012007,2007,1,10,11032007,2007,3,11,Sudan,"Aweil West, Juba, Mundri ",Epidemic,Bacterial Infectious Diseases,Meningococcal disease,430,6516,,2007-0657
